_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.8662083,-5.4671944,1625,05 35 27.89,-05 28 01.9,11.94,0.02,11.18,0.03,10.83,0.02,10.28,0.01,9.91,0.01,9.4,0.04,,,,,0.05,,D,2M,Simbad
83.8065,-5.4659722,1626,05 35 13.56,-05 27 57.5,12.8,0.03,11.95,0.04,11.57,0.03,10.93,0.01,10.65,0.01,,,,,,,0.13,,D,2M,Simbad
83.78475,-5.4657222,1627,05 35 08.34,-05 27 56.6,11.76,0.02,10.4,0.03,9.62,0.02,8.85,0.01,8.24,0.01,7.54,0.02,6.45,0.04,,,0.49,-0.07,D,2M,Simbad
83.7198333,-5.4652222,1628,05 34 52.76,-05 27 54.8,11.19,0.03,10.39,0.05,9.87,0.03,9.11,0.01,8.84,0.01,8.54,0.01,7.95,0.01,5.18,0.02,0.0,-1.5,D,2M,Simbad
83.961125,-5.4650556,1629,05 35 50.67,-05 27 54.2,,,15.13,0.09,13.28,0.03,11.35,0.02,10.64,0.01,10.06,0.05,,,,,1.85,,D,2M,Simbad
83.8051667,-5.4650556,1630,05 35 13.24,-05 27 54.2,11.38,0.04,9.92,0.04,9.27,0.03,8.57,0.01,8.15,0.01,7.58,0.01,6.7,0.01,,,0.72,-0.67,D,2M,Simbad
83.7729167,-5.4644444,1631,05 35 05.50,-05 27 52.0,12.36,0.03,11.42,0.03,11.0,0.03,10.59,0.01,10.25,0.01,,,,,,,0.24,,D,2M,Simbad
83.7354583,-5.4640833,1632,05 34 56.51,-05 27 50.7,12.49,0.02,11.64,0.03,11.29,0.02,10.55,0.01,10.23,0.01,9.79,0.01,9.05,0.01,,,0.16,-1.1,D,2M,Simbad
83.9221667,-5.4639167,1633,05 35 41.32,-05 27 50.1,12.5,0.02,11.68,0.03,11.2,0.02,10.58,0.01,10.16,0.01,9.85,0.02,8.89,0.05,,,0.03,-0.94,D,2M,Simbad
83.7895417,-5.4634444,1634,05 35 09.49,-05 27 48.4,,,11.35,0.03,10.56,0.02,9.58,0.03,9.27,0.04,,,,,,,0.6,,D,2M,Simbad
83.9608333,-5.4631111,1635,05 35 50.60,-05 27 47.2,,,15.47,0.12,13.7,0.04,12.19,0.02,11.63,0.01,10.99,0.08,,,,,2.13,,D,2M,Simbad
83.8140417,-5.4630556,1636,05 35 15.37,-05 27 47.0,14.73,0.03,12.23,0.04,10.89,0.02,9.66,0.01,9.16,0.01,9.14,0.02,,,,,1.53,,D,2M,Simbad
83.6334167,-5.4617778,1637,05 34 32.02,-05 27 42.4,13.31,0.02,12.13,0.03,11.47,0.02,10.49,0.01,10.09,0.01,9.67,0.01,8.57,0.01,5.59,0.03,0.36,-0.65,D,2M,Simbad
83.4498333,-5.4606667,1638,05 33 47.96,-05 27 38.4,14.47,0.04,13.57,0.04,13.0,0.03,12.41,0.01,12.11,0.01,11.81,0.03,11.08,0.08,7.33,0.06,0.07,-1.32,D,2M,Simbad
83.97475,-5.4605,1639,05 35 53.94,-05 27 37.8,14.76,0.03,14.18,0.04,13.79,0.04,13.09,0.03,12.73,0.02,,,,,,,0.0,,D,2M,Simbad
83.8133333,-5.4604167,1640,05 35 15.20,-05 27 37.5,16.93,0.19,15.59,0.13,14.78,0.09,11.93,0.02,11.16,0.01,10.17,0.05,,,,,0.45,,P,2M,Simbad
83.8075417,-5.4602778,1641,05 35 13.81,-05 27 37.0,12.79,0.03,11.87,0.03,11.46,0.02,10.76,0.01,10.54,0.01,,,,,,,0.22,,D,2M,Simbad
83.91075,-5.4602778,1642,05 35 38.58,-05 27 37.0,14.2,0.03,13.27,0.04,12.86,0.03,12.23,0.01,11.87,0.01,11.6,0.06,,,,,0.22,,D,2M,Simbad
83.8315417,-5.4599444,1643,05 35 19.57,-05 27 35.8,13.88,0.02,12.75,0.03,12.13,0.02,10.96,0.01,10.41,0.01,10.36,0.03,,,,,0.33,,D,2M,Simbad
83.9269167,-5.4591389,1644,05 35 42.46,-05 27 32.9,11.39,0.02,10.57,0.03,10.12,0.02,9.33,0.01,9.08,0.01,8.86,0.05,,,,,0.06,,D,2M,Simbad
83.7990833,-5.4585833,1645,05 35 11.78,-05 27 30.9,15.57,0.05,13.72,0.04,12.58,0.03,11.71,0.02,11.2,0.01,,,,,,,0.85,,D,2M,Simbad
83.8431667,-5.4579167,1646,05 35 22.36,-05 27 28.5,12.38,0.02,11.36,0.03,10.69,0.02,9.84,0.01,9.33,0.01,8.86,0.02,8.0,0.06,,,0.15,-0.74,D,2M,Simbad
83.8645417,-5.45725,1647,05 35 27.49,-05 27 26.1,12.02,0.02,11.13,0.03,10.83,0.02,10.1,0.01,9.81,0.01,9.26,0.02,,,,,0.25,,D,2M,Simbad
83.6409167,-5.4549722,1648,05 34 33.82,-05 27 17.9,13.23,0.02,12.56,0.03,12.24,0.03,11.96,0.01,11.82,0.01,11.5,0.03,10.56,0.07,6.9,0.05,0.0,-1.23,D,2M,Simbad
83.840125,-5.4539722,1649,05 35 21.63,-05 27 14.3,14.68,0.03,13.53,0.04,12.76,0.02,11.86,0.01,11.4,0.01,,,,,,,0.24,,D,2M,Simbad
83.882625,-5.4528889,1650,05 35 31.83,-05 27 10.4,15.09,0.04,14.04,0.05,13.49,0.04,12.58,0.02,12.15,0.02,,,,,,,0.28,,D,2M,Simbad
83.802875,-5.4528889,1651,05 35 12.69,-05 27 10.4,12.78,0.02,11.9,0.04,11.44,0.03,10.85,0.03,10.58,0.02,,,,,,,0.13,,D,2M,Simbad
83.7745417,-5.4524722,1652,05 35 05.89,-05 27 08.9,12.51,0.03,11.14,0.04,10.39,0.02,9.46,0.01,9.04,0.01,8.63,0.01,7.83,0.01,,,0.53,-0.97,D,2M,Simbad
83.8204167,-5.4524444,1653,05 35 16.90,-05 27 08.8,12.55,0.02,10.23,0.03,8.86,0.02,7.44,0.01,6.89,0.01,6.39,0.01,5.63,0.01,,,1.29,-0.77,D,2M,Simbad
83.4511667,-5.4515,1654,05 33 48.28,-05 27 05.4,,,,,14.77,0.08,12.19,0.01,11.1,0.01,10.3,0.01,9.59,0.04,6.48,0.02,,0.11,D,2M,Simbad
83.7766667,-5.45125,1655,05 35 06.40,-05 27 04.5,12.93,0.03,12.19,0.04,11.71,0.02,10.98,0.01,10.57,0.01,10.03,0.02,9.15,0.05,,,0.0,-0.72,D,2M,Simbad
83.8314167,-5.4512222,1656,05 35 19.54,-05 27 04.4,15.02,0.04,13.13,0.03,12.07,0.02,11.0,0.01,10.31,0.01,9.63,0.02,8.47,0.08,,,0.96,0.05,D,2M,Simbad
83.8815417,-5.4505556,1657,05 35 31.57,-05 27 02.0,14.33,0.03,13.6,0.03,13.08,0.02,12.4,0.02,11.94,0.02,,,,,,,0.0,,D,2M,Simbad
83.711375,-5.4502222,1658,05 34 50.73,-05 27 00.8,11.65,0.02,10.71,0.03,10.19,0.02,9.56,0.01,9.15,0.01,8.86,0.01,8.12,0.01,4.25,0.01,0.14,-1.21,D,2M,Simbad
83.808,-5.4501944,1659,05 35 13.92,-05 27 00.7,,,15.43,0.09,11.92,0.02,9.23,0.01,8.24,0.01,7.72,0.01,7.34,0.03,,,4.94,-0.73,D,2M,Simbad
83.893125,-5.4498611,1660,05 35 34.35,-05 26 59.5,13.03,0.03,12.33,0.03,11.96,0.02,11.08,0.01,10.67,0.01,10.02,0.03,,,,,0.0,,D,2M,Simbad
83.7291667,-5.4496389,1661,05 34 55.00,-05 26 58.7,13.83,0.03,12.91,0.04,12.3,0.02,11.38,0.01,10.95,0.01,10.71,0.01,10.22,0.03,,,0.06,-1.54,D,2M,Simbad
83.6900833,-5.4486111,1662,05 34 45.62,-05 26 55.0,15.89,0.08,14.77,0.08,14.36,0.06,13.03,0.01,12.08,0.01,11.1,0.01,9.2,0.01,5.52,0.03,0.46,1.53,P,2M,Simbad
83.67375,-5.4480556,1663,05 34 41.70,-05 26 53.0,12.54,0.02,11.66,0.03,11.14,0.02,10.28,0.01,9.66,0.01,9.0,0.01,8.09,0.01,5.59,0.02,0.07,-0.32,D,2M,Simbad
83.777375,-5.4475,1664,05 35 06.57,-05 26 51.0,,,,,11.18,0.03,10.56,0.01,10.15,0.01,9.61,0.02,8.45,0.03,,,,-0.41,D,2M,Simbad
83.824875,-5.4474444,1665,05 35 17.97,-05 26 50.8,13.31,0.05,12.37,0.05,11.72,0.03,10.9,0.02,10.51,0.01,,,,,,,0.04,,D,2M,Simbad
83.8214583,-5.4460833,1666,05 35 17.15,-05 26 45.9,13.48,0.02,12.85,0.04,12.57,0.02,12.19,0.05,11.92,0.03,,,,,,,0.0,,D,2M,Simbad
83.8405417,-5.4457222,1667,05 35 21.73,-05 26 44.6,12.82,0.05,11.95,0.05,11.47,0.03,11.02,0.01,10.65,0.01,,,,,,,0.09,,D,2M,Simbad
83.976375,-5.4456111,1668,05 35 54.33,-05 26 44.2,11.96,0.03,11.06,0.04,10.41,0.02,9.49,0.01,8.97,0.01,8.83,0.02,7.91,0.04,4.4,0.02,0.02,-1.12,D,2M,Simbad
83.700125,-5.445,1669,05 34 48.03,-05 26 42.0,,,,,15.64,0.2,14.19,0.03,13.4,0.01,12.49,0.05,11.11,0.05,,,,0.7,D,2M,Simbad
83.857125,-5.4448889,1670,05 35 25.71,-05 26 41.6,12.02,0.02,10.94,0.03,10.29,0.02,9.19,0.01,8.61,0.01,8.02,0.01,7.01,0.02,,,0.23,-0.34,D,2M,Simbad
83.6175,-5.4443889,1671,05 34 28.20,-05 26 39.8,13.54,0.03,12.82,0.04,12.51,0.03,12.04,0.01,11.85,0.01,11.5,0.04,,,,,0.02,,D,2M,Simbad
83.6700417,-5.4440556,1672,05 34 40.81,-05 26 38.6,12.68,0.03,11.67,0.03,11.14,0.02,10.41,0.01,10.12,0.01,9.72,0.01,8.97,0.01,6.65,0.04,0.23,-1.16,D,2M,Simbad
83.7697917,-5.4438056,1673,05 35 04.75,-05 26 37.7,11.97,0.02,11.03,0.03,10.62,0.02,9.8,0.01,9.49,0.01,9.22,0.01,8.58,0.01,,,0.23,-1.46,D,2M,Simbad
