_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
68.074167,24.370556,043217.8+242214,,9.98,,9.87,,9.76,,9.72,,9.3,>,0.86,,,no,1,[MDM2001] CFHT-BD-Tau 7,III,M6.5,,0.9,<,2.1E-4,68.0742,24.3706
68.078333,24.374167,043218.8+242227,,7.86,,7.82,,7.72,,7.64,,7.54,>,0.84,,,no,1,V928 Tau,III,M0.5,,3.9,<,2.9E-5,68.0783,24.3742
68.096667,24.050278,043223.2+240301,,10.89,,10.83,,10.79,,10.67,>,9.82,>,0.91,,,no,1,2MASS J04322329+2403013,III,M7.75,,0.0,<,0.0026,68.0967,24.0503
68.127083,24.3325,043230.5+241957,,7.18,,6.76,,6.5,,5.99,,3.67,,,,,yes,1,FY Tau,II,K7,,5.9,,0.061,68.1271,24.3325
68.132083,24.333889,043231.7+242002,<,6.62,<,6.1,,5.27,,4.58,,2.06,,0.31,,,,1,FZ Tau,II,M0,,7.2,,0.17,68.1321,24.3339
68.133333,22.957222,043232.0+225726,,8.63,,7.72,,6.83,,5.32,,1.4,,-1.32,,-3.93,yes,1,IRAS04295+2251,I,,,,,,68.1333,22.9572
68.179167,25.875278,043243.0+255231,<,6.62,<,6.1,,5.63,,4.79,,1.54,,-0.69,,-2.15,,2,NAME UZ Tau A,II,M1,-80.3,0.0,,0.41,68.1792,25.8753
68.204583,22.883889,043249.1+225302,,7.41,,7.12,,6.83,,5.89,,2.53,,0.72,,,yes,1,JH112,II,K6,,5.5,,0.11,68.2046,22.8839
68.209167,24.369722,043250.2+242211,,10.46,,10.27,,10.09,,10.07,,9.56,>,1.16,>,-1.44,no,1,[MDM2001] CFHT-BD-Tau 5,III,M7.5,,9.5,<,1.5E-4,68.2092,24.3697
68.257917,24.35,043301.9+242100,,9.32,,9.21,,9.14,,9.09,,8.92,>,0.88,,,no,1,[BHS98] MHO 8,III,M5.5,,0.9,<,1.2E-4,68.2579,24.35
68.275833,24.159167,043306.2+240933,,7.08,,6.77,,6.5,,6.03,,3.17,,0.43,,,yes,1,GH Tau,II,M2,,1.9,,0.093,68.2758,24.1592
68.2775,24.165,043306.6+240954,<,6.62,,6.21,,5.96,,5.57,,2.96,,0.36,,,,1,V807 Tau,II,K7,,1.3,,0.05,68.2775,24.165
68.2825,26.268333,043307.8+261606,,9.78,,9.67,,9.6,,9.58,,9.04,>,1.44,>,-1.91,no,1,[BLH2002] KPNO-Tau 14,III,M6,,4.1,<,1.2E-4,68.2825,26.2683
68.289167,22.78,043309.4+224648,,10.86,,10.63,,10.34,,9.95,,8.25,>,1.16,,,yes,1,[MDM2001] CFHT-BD-Tau 12,II,M6.5,,3.2,,0.036,68.2892,22.78
